name,type,cohort,tier,icp_fit,source,source_detail,source_conference,owner,standin,engineering_lead,exec_sponsor,stage,arr,website,domain,linkedin_url,industry,hq_location,employee_count,annual_revenue,founded_year,ams_system,technologies,specialties,drive_folder_url,category,champion,health_score,notes
Distinguished Programs,MGA_MGU,Core_Platform,,,Existing,status=active,,Ganesh,,Ganesh + Peter,Kyle,customer,12000,http://www.distinguished.com,distinguished.com,http://www.linkedin.com/company/distinguished-programs,insurance,"New York, New York",340,100000000,1995,,CloudFlare Hosting; Cloudflare DNS; Flywheel; Hubspot; Microsoft Azure Monitor; Microsoft Office 365; Mimecast; Office365; Outlook; Salesforce,general liability; environmental insurance; fine art insurance; hotel insurance; umbrella insurance; cyber insurance; real estate insurance; hospitality insurance; restaurant insurance; property insurance,,,Steve Sitterly (CIO),88,"1.29.25 - - 41 days to close from second proposal (December 19, 2024 - January 28, 2025) 1.7.25 - Followed up with Mani Initial Proposal sent 6/10/2024 12.19.24 - Sent a renewed trial proposal to Mani. Asked to reach out to him by January 20th 12.9.24 -- follow up call scheduled for 12.19.24 | Live: Cyber agents | Expansion: PE-backed with 20 business units = 20 expansion nodes | PE-backed with 20 BUs = 20 expansion nodes. Currently Cyber only. Some contraction but massive expansion surface."
GIC Underwriters,MGA_MGU,Core_Platform,,,Existing,status=active,,Craig,Jonathan,Craig + JC,Kyle,customer,70000,http://www.granadaindemnity.com,granadaindemnity.com,http://www.linkedin.com/company/granada-indemnity-company,insurance,"Long Beach, New York",32,,,,ASP.NET; Amazon AWS; Amazon SES; Bootstrap Framework; Constant Contact; DNS Made Easy; Google Analytics; Google Maps; Google Tag Manager; Microsoft Office 365,claims reporting; liability coverage; small to mid-sized business; regional insurer; middle market real estate; marine license insurance; risk management; commercial property insurance; business owners policy; insurance for retail and service businesses,https://drive.google.com/drive/folders/1mXWL27MBUU5RiwtEGFSn2NAHASR1JOkF,,Dave Delaney,100,Live: Voice + Chat + Email (multi-channel) | Expansion: Multi-channel distribution governance | Most technically complete deployment. Multi-channel: voice + chat + email. Distribution proof point. Expansion: 3 new states + additional LOBs. Granada Insurance = parent carrier.
INSURICA,Broker,Core_Platform,,,Existing,status=active,,Jonathan,,Jonathan + Dhruv,Kyle,customer,100000,https://www.insuricaexpress.com/,insuricaexpress.com,,,,,,,Applied EPIC,,,,,Kylie Hubbard,80,Should propose integrating Slack notifications | Live: Receptionist + Renewal agents | Expansion: Two distinct products serving two outcomes (retention + revenue) | Lifecycle proof point. Two distinct products (retention + revenue). Julia Hester = champion for future voice work. Renewal automation = next expansion surface.
Jewelers Mutual,MGA_MGU,Core_Platform,,,Existing,status=active,,George,Ganesh,George + Ganesh,Kyle,customer,292500,http://www.jewelersmutual.com,jewelersmutual.com,http://www.linkedin.com/company/jewelers-mutual-company,insurance,"Neenah, Wisconsin",710,455000000,1913,,AWS Trusted Advisor; Amadesa; Amazon AWS; Amazon Associates; AppDynamics; AppNexus; BASE; Bing Ads; Bluekai; Bootstrap Framework,personal & commercial jewelry insurance; insurance policy; jewelry collection; jewelry business insurance; jewelry valuation; industry support; jewelry industry council; jewelry industry community engagement; industry collaboration; jewelry security technology,https://drive.google.com/drive/folders/1UaZ59IlvdBdgdiLhYk8-DJtBm6zLpViy,,Dave Seibert,100,Live: EventGuard + Wedding AI | Expansion: Expansion engine - anchor account | Anchor account. EventGuard national scale = top priority. Revenue Growth proof point. Multi-product potential (jewelry + personal lines).
Union General Insurance Services,MGA_MGU,Core_Platform,,,Existing,status=active,,George,,George (Rem),Kyle,customer,84000,http://www.uniongeneralinsurance.com,uniongeneralinsurance.com,http://www.linkedin.com/company/union-general-insurance-services-inc.,insurance,"Concord, California",15,15321000,1980,,ASP.NET; Bootstrap Framework; Google Analytics; Google Custom Search; Google Font API; Google Tag Manager; Hotjar; Microsoft Azure Hosting; reCAPTCHA,general liability; turnaround time; marketing; integrity; leadership; managing general agent; transportation; pc; trust; family,https://drive.google.com/drive/folders/1DnctR_5840esVh-wk6ww9GgSr7JZ9VgZ,,Ben Bailey (Benjamen Bailey),100,12.9.24 - Ben to talk with Matthew. Great signs and likely to close this in January Good pitch just before TG | Live: GL Comparative Rater | Expansion: Complex workflow offloading | Operational efficiency proof point. GL only with ACIC carrier. Expansion: additional lines (BOP commercial auto umbrella) + additional carriers.
Branch,MGA_MGU,Graduating,,,Existing,status=negotiation,,Jonathan,,Jonathan,Kyle,pilot,24000,http://www.ourbranch.com,ourbranch.com,http://www.linkedin.com/company/branch-com,information technology & services,"Columbus, Ohio",10,54200000,2011,,Amazon AWS; Atlassian Cloud; DoubleClick; DoubleClick Conversion; Gmail; Google AdWords Conversion; Google Analytics; Google Apps; Google Dynamic Remarketing; Google Font API,information & internet; home insurance; insurance for vehicles; insurance with social impact; insurance technology; b corp insurance company; insurance for renters; insurance for motorcycles; insurance claim support; insurance coverage,,,Dan Spiegel (VP),healthy,Pending: 4 Associates trial | Expansion: $2K/mo trial (3 months). Dan Spiegel (VP) signed. Expansion target: $138K full enterprise. | Signed March 13 2026. $2K/mo trial (3 months). 4 Associates. Dan Spiegel (VP) signed. Expansion target: $138K full enterprise.
Johnson Insurance Services,Broker,Graduating,,,Existing,status=active,,Kyle,,,,pilot,30000,,,,,,,,,,,,,,Jessica Yarbrough,healthy,Jessica Yarbrough. Wilmington NC. CUSTOMER. Good conversation with Kyle at ALER26 Mar 15. | Live: Web operator automation | Expansion: $2.5K/mo signed | Signed Feb 4 2026. $2500/mo then quarterly. Web operator automation. New product line for Indemn. Cam and Marlon drove the win.
O'Connor Insurance Associates,Broker,Graduating,,,Existing,status=active,,Ian,,Ian,Kyle,pilot,24000,,,,,,,,,BT Core,,,,,Michelle O'Connor,healthy,Active implementation. Multiple check-ins. BT Core migration blocking new initiatives. | Pending: Full multi-channel | Expansion: IIANC cohort | IIANC cohort. Full multi-channel (voice+chat+email). Most complete in Graduating cohort. 101 Weston Demo completed Jan 20. Billing Agent = proof point.
Rankin Insurance Group,Other,Graduating,,,Existing,status=active,,Ian,,Ian,Kyle,pilot,18000,http://www.rankininsurancegroup.com,rankininsurancegroup.com,http://www.linkedin.com/company/rankin-insurance-group,insurance,"Huntersville, North Carolina",3,4655000,2001,Easy Links,ASP.NET; Bootstrap Framework; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Google Analytics; Google Tag Manager; Microsoft-IIS; Outlook; Yelp,general liability; commercial auto; workers compensation; personal auto; homeowners; disability; long term care; annuities; professional liability; cyber liability,,,Darrin Rankin,100,Pending: Voice quote intake | Expansion: IIANC cohort | IIANC cohort. Voice quote intake. EasyLynq AMS integration. Discovery pages being tested.
Tillman Insurance,Broker,Graduating,,,Existing,Portfolio Overview,,Ian,,Ian,Kyle,pilot,,,,,,,,,,Hawksoft,,,,,Raquel,healthy,IIANC cohort. Bilingual (English+Spanish) = differentiating capability. 20-agent agency. Hawksoft AMS integration. Pre-revenue.
Bonzah,MGA_MGU,AI_Investments,,,Existing,status=active,,Jonathan,,Jonathan,Kyle,customer,8000,http://www.bonzah.com,bonzah.com,http://www.linkedin.com/company/bonzah,insurance,"Des Moines, Iowa",3,,2017,,ASP.NET; AddShoppers; AddThis; Airtable; Bing Ads; Bootstrap Framework; CloudFlare Hosting; Cloudflare DNS; Data Analytics; Disqus,insurance for car share; insurance; rental vehicle insurance; rental car insurance; peer-to-peer insurance; rental insurance; insurance quotes; international drivers; insurance policies; trip protection,,,Brandon Rockow,100,12.9.24 - Kyle - Need to build AI agent prototype and ship it over | Expansion: Self-funded portfolio
ConvergentRPS,Other,AI_Investments,,,Existing,status=active,,,,,,prospect,4000,http://www.convergentrps.com,convergentrps.com,http://www.linkedin.com/company/convergent-retirement-plan-solutions-llc,financial services,"Brainerd, Minnesota",3,21303000,,,Apache; Bootstrap Framework; GoToWebinar; Google Analytics; Google Font API; Outlook; Slack; Vimeo; reCAPTCHA,,,,Jonathan Yahn (Senior ERISA Counsel),100,Expansion: Self-funded portfolio
Family First,Other,AI_Investments,,,Existing,status=active,,Ganesh,,Ganesh,Kyle,customer,12000,http://www.family-first.com,family-first.com,http://www.linkedin.com/company/familyfirstcare,hospital & health care,"Boston, Massachusetts",120,35900000,2016,,Barracuda Networks; Bootstrap Framework; Facebook Login (Connect); Facebook Widget; Google Tag Manager; Hubspot; Linkedin Login; Linkedin Widget; Microsoft Office 365; Outlook,caregiving; employee benefit; mental health; return to work; employee retention; caregiver benefits; hospitals & health care; caregiver support; virtual care management; healthcare cost reduction,,,Ravi,63,1.6.25 - Kyle followup on Wed 12.9.24 -- Great conversation today. Very close to closing. Need to send privacy and security documentation to Sara. They have longer conversations - each case can go up to two months - what do we define as a conversation - Repeated callers - identify who is coming in Sensitive about compliance Send him a data flow diagram Ravi wants to push internally first Asked for a data flow diagram | Expansion: Self-funded portfolio. Winners graduate to Core Platform pricing (3.5x).
eSpecialty Insurance,Broker,AI_Investments,,,Existing,status=active,,Kyle,,,,customer,6000,http://www.especialty.com,especialty.com,http://www.linkedin.com/company/especialtyinsurance,insurance,"Park City, Utah",7,,2021,,CloudFlare Hosting; Cloudflare DNS; Duck Creek; Google Tag Manager; Gravity Forms; Guidewire; Microsoft Office 365; Outlook; Phoenix; Render,specialty insurance; errors; omissions insurance; cyber risk insurance; directors; officers insurance,,,Michael Finger (VP Engineering),100,"1.13.25 - Call scheduled for Wed, Bob asked about pricing. 12.12 - Kyle - received email from Bob. Thanked us for persistence, asked to start POC, asked for pricing. 12.11 jason call 12.9.24 email follow up 11.12.24 - asked for followup call | Expansion: Self-funded portfolio"
mShift (Millennial Shift Technology),MGA_MGU,AI_Investments,,,Existing,status=active,,,,,,customer,14000,http://www.mshifttech.com,mshifttech.com,http://www.linkedin.com/company/millennialshifttechnologies,insurance,"Phoenix, Arizona",14,,2019,,CloudFlare Hosting; Cloudflare DNS; Google Font API; Google Tag Manager; Gravity Forms; Outlook; Phoenix; SendInBlue; Slack; WordPress.org,insurtech; fintech; insurance; broker management software; professional liability insurance; carrier partnerships; risk management; carrier integrations; admitted and non-admitted products; digital insurance,,,Mark Meury,100,Expansion: Self-funded portfolio
ACI Worldwide,Other,Prospect,,Low,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,FinTech / Payments,"Miami, FL","4,000+",,,,,,,Cat 2C,,,Sr. Business Developer.
AIRROC,Association,Prospect,,N/A,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Industry Org,,,,,,,,,Cat 2C,,,Executive Director.
Alliance Insurance,Broker,Prospect,,,Existing,IIANC cohort,,George Remmer,,George Remmer,,pilot,,,,,,,,,,,,,,,,,IIANC cohort. Documents to ingest as KBs. BT Core AMS connection next.
Alpha Direct Agency,,Prospect,,,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,,,,,,,,,,Cat 1,,,Emmanuel asked to reschedule. No reply. Stalled.
Altamont Capital Partners,VC,Prospect,,N/A,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Private Equity,"Palo Alto, CA",,,,,,,,Cat 2B,,,Operating Partner. Strategic investor.
Amica Insurance,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,"Lincoln, RI","3,500+",,,,,,,Cat 2C,,,Strategy & Innovation Officer.
Ankura,Other,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Advisory / Consulting,,"1,800",,,,,,,Cat 1,,,"1,800-employee advisory firm. Founded 2014."
Aon,Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,http://www.aon.com,onsetprotect.com,http://www.linkedin.com/company/aon,,"London, England, United Kingdom",,,1982,,,,,,Stacie Helton,attention,"1.22.25 - sent Jon Spratt a message 1.6.25 - Goals - Growth conversation with Jay (Vice Chair at Aon) - Customer & alternative project conversation with Jon Spratt (young innovation executive with Aon Affinity) - Strategic partnership conversation with Scott Whitehead - Meeting with Stacey and Mark at K&K (Can also target tech devs, Shane and Peter) - 2nd priority - Intro conversation with Devin McGuldrick (friend and ""Head of Digital Broking"") 1.5.25 - Email out to K&K. Should send one to Jon Spratt 10/30/24 - Prototype for Onset Protect (another affinity business) Proposal to Peter and Shane - tech at Aon Affinity"
Apple Valley Agency,Broker,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,"Greenville, RI",,,,,,,,,,,ALER26 Mar 16. David Brush (President). Currently paying Sonant AI $700/mo - wants to switch. Competitive displacement.
Ascend,InsurTech,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,InsurTech,,,,,,,,,Cat 2C,,,Partnerships Lead.
Atlanta Life,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Marlon,,,,prospect,,,,,Insurance / Life,"Atlanta, GA",,,,,,,,Cat 2A,,,Regional VP Sales. Marlon owns.
Benekiva,InsurTech,Prospect,,,Existing,Partnership,,,,,,prospect,,,,,,,,,,,,,,,,,Partnership deal. Voice/chat front-of-house for Benekiva claims customers. NDA pending. Jim (Benekiva) + Craig (Indemn) on tech. HIGH VALUE infrastructure moat opportunity.
Berkshire Hathaway GUARD,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,,"1,000+",,,,,,,Cat 2B,,,"Dir, Wholesale Relationships."
Blitz Insurance,Broker,Prospect,,,Existing,status=prospect,,,,,,prospect,,http://www.blitzinsurance.com,blitzinsurance.com,http://www.linkedin.com/company/blitz-insurance,insurance,"Chicago, Illinois",59,,2021,,AddThis; Amazon AWS; Bootstrap Framework; Google Font API; Google Tag Manager; Hubspot; Microsoft Office 365; New Relic; Outlook; Ruby On Rails,built for brokers; risk assessment; insurance platform; dynamic risk evaluation; risk-specific applications; lightning-fast quoting; builder's risk coverage; seamless binding; customer experience; direct insurance (except life,,,John Busch,at-risk,Need to get info from Marlon
Borrowed Tyme,Other,Prospect,,,Existing,,,Kyle,,,,prospect,,,,,,,,,,,,,,,,,Sales and service web agents. Great progress Jan 31 - want to partner. Expanding relationship.
Boston Insurance Brokerage LLC,Other,Prospect,,,Existing,status=prospect,,,,,,prospect,,,,,,,,,,,,,,,Chris Fell (Chief Operating Officer  Executive Vice President),attention,
